"species","model","lwr","mid","upr","all"
"F. chrysotus","VB",0.184672840986465,0.973852800140034,0.545316542319889,0.977515643056044
"F. chrysotus","GZ",0.0770177567645409,0.974245481431266,0.554560580975892,0.977380819081087
"F. chrysotus","LG",0.0150263363779964,0.971979777765601,0.444478030760028,0.97473526252163
"F. chrysotus","ST",0.163553302175193,0.974357973168316,0.561301742616899,0.977870291101956
"G. holbrooki","GZ",0.110199574640268,0.960576352377059,0.457168861805213,0.96560157758012
"G. holbrooki","VB",0.0789766144681365,0.959959910239942,0.495547757108978,0.96450371722551
"G. holbrooki","LG",0.118196317713589,0.959119232876038,0.389915835308129,0.964142333066739
"G. holbrooki","ST",0.106081220704248,0.960659887046205,0.473033227978137,0.965607139858663
"H. formosa","VB",0.825510330286975,0.960683058064084,0.851862884990699,0.96797384473421
"H. formosa","GZ",0.772965667200849,0.960991285848747,0.810522507662152,0.967567761883938
"H. formosa","LG",0.733430814871558,0.959250348974162,0.773738421125653,0.965519377906322
"H. formosa","ST",0.827999577086193,0.960618786198416,0.85118410406702,0.968022130853477
"J. floridae","LG",0.986328888640624,0.849697815358654,0.333420982533904,0.87967863405394
"J. floridae","VB",0.933447625206523,0.82843364028787,0.490698020675709,0.863843078849802
"J. floridae","GZ",0.990313933221178,0.84587697685581,0.365598422631213,0.877395397652984
"J. floridae","ST",0.980241701297568,0.846129157656146,0.374518786399471,0.877529316837396
"L. goodei","VB",0.427540018014987,0.952200113259155,0.436828351647842,0.956572295279252
"L. goodei","LG",0.480381306229568,0.952665336184168,0.489717187948648,0.957093900916494
"L. goodei","GZ",0.513019148446305,0.952898267679692,0.466396575088013,0.957558688500617
"L. goodei","ST",0.474529173039561,0.952994580033187,0.451578713530203,0.957491299029098
"P. latipinna","LG",0.952074399832316,0.923394405772749,0.943103870082822,0.946445383880526
"P. latipinna","GZ",0.962904663536885,0.921705488324722,0.937773931646476,0.94491426862217
"P. latipinna","VB",0.824602149879844,0.918541511112422,0.902350940002451,0.941956057537645
"P. latipinna","ST",0.952096645052862,0.923455774636552,0.942472068858117,0.946381408341841
